branch_id,from_bus,to_bus,Pf_MW,Qf_MVAr,Pt_MW,Qt_MVAr,rateA_MVA,loading_pct
1,1,2,11.9399062939911,-26.920551324635,-11.9363261558948,-22.4544934563098,175,16.8283283604235
2,1,3,-7.96671913372332,21.5654173511017,8.3082477251761,-26.1076052489754,175,15.6558292681421
3,1,5,60.0268128397481,4.8288935146585,-59.2860764884611,-4.37207461428854,175,34.4118464285208
4,2,4,38.435815469123,19.1509053497659,-37.8485982028367,-20.4277085789219,175,24.5767945217626
5,2,6,48.5005106867882,-1.03811402931417,-47.4077338737505,-0.190362253171113,175,27.7209253761795
6,3,9,22.8980025298167,-17.0093789919952,-22.6580798555372,14.7460751633688,175,16.2996180603688
7,3,24,-211.206250254762,6.11698424111223,212.319149614902,34.4796489396425,400,53.7751496303102
8,4,9,-36.1514017971322,5.42770857892413,36.515643699123,-6.82629381968994,175,21.2275563846853
9,5,10,-11.7139235115027,-9.62792538570451,11.7595447972184,7.30092021807893,175,8.66450325984863
10,6,10,-88.592266126222,-130.305168502713,89.6591501541209,-121.117212691067,175,90.0394952902921
11,7,8,115.000000000004,26.8396073810753,-112.88233047812,-20.3518267445718,175,67.4802816837721
12,8,9,-36.9232510520965,3.35762965086083,37.5274225972495,-5.4648948809299,175,21.6704258010937
13,8,10,-21.1944184697434,-18.0058029062849,21.4972986692042,14.6105376567457,175,15.8915951352095
14,9,11,-105.918639909966,-12.7652042162542,106.195621706315,22.8690184396216,400,27.1575289675609
15,9,12,-120.466346530875,-25.6896822464041,120.835570145059,39.1583175638299,400,31.7555200385611
16,10,11,-151.176926495834,36.0286540726536,151.723333703672,-16.0966694041295,400,38.8527082542307
17,10,12,-166.7390671247,23.1771007436763,167.380187844228,0.209868112163507,400,42.0855486661526
18,11,13,-86.14587583626,-54.9653120734464,86.7639249202858,49.6967753791852,500,20.4375120353997
19,11,14,-171.773079573794,48.1929630379897,173.550992950801,-42.9581687806915,500,35.7577132485841
20,12,13,-60.5143000567027,-33.3015762157948,60.7850971751186,25.1975531916224,500,13.8144496666484
21,12,23,-227.701457932661,-6.06660946013838,234.100274883745,34.5236104447236,500,47.3264485795348
22,13,23,-225.302606604722,5.09720233332272,230.740912717955,17.8034293508754,500,46.2853458012647
23,14,16,-367.550992950799,-23.7658110150711,374.604682545586,70.4852380525131,500,76.2356444108394
24,15,16,112.300851715108,-32.6033010118796,-112.010799433833,31.1304439782712,500,23.3875663828538
25,15,21,-214.919314194084,-41.9691201405642,217.831913642621,53.6495870069613,500,44.8682608476075
26,15,21,-214.919314194084,-41.9691201405642,217.831913642621,53.6495870069613,500,44.8682608476075
27,15,24,215.537776673048,48.5870412898682,-212.319149615028,-34.4796489395561,500,44.1892447341949
28,16,17,-322.676476265294,-33.8591468667742,326.029272167655,54.4159172558549,500,66.1078447269208
29,16,19,115.082593153541,-43.3542359233791,-114.650052367123,41.6375837686046,500,24.5956036880118
30,17,18,-186.940932624876,-58.6944819041465,187.578477895349,60.4904915083389,500,39.4181607548888
31,17,22,-139.088339542779,4.278564648289,141.542574154696,-9.258398905725,500,28.3690100275883
32,18,21,-60.2892389476747,5.11907987750156,60.4000106489066,-10.2583148587431,500,12.2529903454286
33,18,21,-60.2892389476747,5.11907987750156,60.4000106489066,-10.2583148587431,500,12.2529903454286
34,19,20,-33.1749738164388,-39.3187918843014,33.2881066096633,31.3445328003158,500,10.2889188605264
35,19,20,-33.1749738164388,-39.3187918843014,33.2881066096633,31.3445328003158,500,10.2889188605264
36,20,23,-97.2881066096636,-44.3445328003153,97.5794061991492,41.6300138884654,500,21.3835574935243
37,20,23,-97.2881066096636,-44.3445328003153,97.5794061991492,41.6300138884654,500,21.3835574935243
38,21,22,-156.463848583056,20.1234029326244,158.457425845304,-20.2868490957936,500,31.9501562135496
