gen_id,bus,Pg_MW,Qg_MVAr,Pmax_MW,Pmin_MW,status
1,1,16.000001842812,4.66852007586301,20,16,1
2,1,16.000001842812,4.66852007586301,20,16,1
3,1,75.9999952770355,-1.38678867054605,76,15.2,1
4,1,75.9999952770355,-1.38678867054605,76,15.2,1
5,2,16.0000018433774,4.65079255139965,20,16,1
6,2,16.0000018433774,4.65079255139965,20,16,1
7,2,75.9999952807454,-2.76552469517096,76,15.2,1
8,2,75.9999952807454,-2.76552469517096,76,15.2,1
9,7,70.3428884130105,16.4398599750477,100,25,1
10,7,70.3428884130105,16.4398599750477,100,25,1
11,7,70.3428884130105,16.4398599750477,100,25,1
12,13,78.5789491884314,32.5999812286679,197,69,1
13,13,78.5789491884314,32.5999812286679,197,69,1
14,13,78.5789491884314,32.5999812286679,197,69,1
15,14,0,114.920074521394,0,0,1
16,15,2.40001411888238,5.99893787845296,12,2.4,1
17,15,2.40001411888238,5.99893787845296,12,2.4,1
18,15,2.40001411888238,5.99893787845296,12,2.4,1
19,15,2.40001411888238,5.99893787845296,12,2.4,1
20,15,2.40001411888238,5.99893787845296,12,2.4,1
21,15,154.999995465158,79.9989457913678,155,54.3,1
22,16,154.999995487499,79.9984320724789,155,54.3,1
23,18,399.999996471075,72.8943238781727,400,100,1
24,21,399.999996457189,-7.45447779271823,400,100,1
25,22,49.9999967250488,-6.41333363067986,50,10,1
26,22,49.9999967250488,-6.41333363067986,50,10,1
27,22,49.9999967250488,-6.41333363067986,50,10,1
28,22,49.9999967250488,-6.41333363067986,50,10,1
29,22,49.9999967250488,-6.41333363067986,50,10,1
30,22,49.9999967250488,-6.41333363067986,50,10,1
31,23,154.999995454095,2.46224125408954,155,54.3,1
32,23,154.999995454095,2.46224125408954,155,54.3,1
33,23,349.99999541163,40.7055925897136,350,140,1
